Title,Company,Industry,Role,Salary,City,Description,Experience,RecruiterName,RecruiterNumber,Website
Relationship Manager (data)- Bhopal,Cambist Consultants,"Telcom, ISP",Client Relationship Manager,"INR 1,75,000 - 2,00,000 PA.",nagpur,"We, at Cambist Consultant are back end service provision team of 300 strong managerial workforce for Airtel and are the agency managing their collections and service delivery expectations. We take care of their corporate clients in terms of billings, payments, plans, service, trouble shooting, etc. We are headquartered at Mumbai and and have pan India presence with branch offices at Pune, Indore, Bhopal, Raipur,etc.   For our client Airtel, we require Relationship Managers (Data) for Bhopal location.    Debt Recovery 1.  A Relationship Manager (RM) for Debt Collection works to grow a company's business and revenue through collecting debts from the designated customers as prescribed by Airtel/Client Organization. This role is one that is both challenging and also rewarding, giving the successful candidate an opportunity to develop an interesting career in Telecom and debt management.   2.  This is a target and incentive driven job role that requires sharp focus on daily, weekly and monthly target acheivements. The RM has to be an inidividual with high integrity who wants to drive himself till the mission is achieved. 3.  The RM shall be a Third Party representative born on the payroll of Cambist Consultants and will be required to realize and collect the debt of designated customers of Airtel who would have sought either data (internet services), MO (mobile phone connectivity) and FL (Fixed Line connectivity) services from Airtel in past.  4.  The role involves daily physical personal visits to be made to the customer's (end user) place and convince the customer to pay the dues and also upsell the products of Airtel in the Data.  5.  It involves scheduling appointments, making personal visits, collect and handle cash/cheque, prepare MIS and report to the Team Leader of Collections at Cambist Consultants;ensure payments are posted on timely Basis. Verification has to be done by the RM and not by the backend for their own set of accounts.  6. The most important aspect of this role is maintaining strong customer relationships and ensuring customer loyalty through excellent customer service as well as meeting all client needs appropriate to their business. All customer greivances are to be sorted out by the RM. In the case of Corporate Accounts, the RM shall play the role of a KAM (Key Account Manager) and prove himself/herself the pivot of all customer requirements and greivance redressal. This is the kind of relationship that the RM has to nurture with the client. 7.  Maintain an active and functional data base of all target customers; visit log; money recovered and customer services rendered.  8. Minimum 8 Visits per day to be made to the designated customers. Total Accounts to be handled will be approximately 80-90 and the allocation will be made as per the given Geography [Pincode wise].   Education Qualification: Graduates in any discipline. Should be able to read and write Hindi, and English. Fluency in English is a must.   Work Experience: 1-3 years Experience as a Sales Executive in any FMCG/Door to Door Selling Product/similar direct selling product and debt collection/recovery background is a must. Experience in Telecom  will be be preferred though. Freshers who have no experience but are passionate about this role may be considered solely upon their zeal to take on this role.  Functional Skills: 1. Knowledge of MS Excel & MS Word to independently make MIS. 2. Good negotiating and convincing skills 3. Good skills to make cold calls to potential customers with confidence & connect.  Those who are interested can share their profile on hr@cambist.in with the photograph and current salary details.  Thanks and Regards, Rupa Executive HR 7710012256 www.cambist.in",0 - 5 yrs,SameerChaudary,NA,NA
Branch Manager / ABM,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Branch Manager,+additional Incentives+other benefits,nagpur,"The Muthoot Group is recruiting for Branch Manager /            Assistant  Branch Manager Profile in Vidharbha, MH.        Careers at Muthoot Finance:    Muthoot Finance Ltd. opens a world of opportunities for those who seek to work in a challenging and rapidly expanding company. Working with us means exploring beyond boundaries and across roles.     The Muthoot Advantage:     Since its establishment, The Muthoot Group has stood for trust and responsibility, but most importantly for constant growth. As a part of a colossal conglomerate, Muthoot Finance promises abundant avenues for learning and development across multiple areas of expertise.    Why Muthoot  :   At Muthoot Finance Ltd., Learning, Progressing and Growing (LPG) is a philosophy integral to the work culture. Lucrative compensation and a supportive work environment make Muthoot Finance Ltd. an employer of choice. Since inter-company and cross-country mobility is fundamental to the work culture at Muthoot Finance Ltd. role flexibility, job expansion and job rotation are job satisfaction techniques that we encourage. Becoming a Muthoot Employee.   With operations across India, UK, US and UAE, Muthoot Finance Ltd. offers a global platform for one to achieve their true potential. The company seeks knowledgeable employees who are willing to learn and ready to challenge their limits.       Job Description:              Conducting morning team meeting to review & appreciate the team for target achievement in each Products.	   			 Collection of Daily work Plan from all Branch staff and prioritize & allocate works among Staff.    				 Review/Compliance the Customer Complaints if any.      				 Recommendation and sanctioning of of ACR, Pending leave & other employee request  of employees	   			 Branch Manager to tally the gold loan packets at the day end as per the process laid down at organization.	   			 Responsible for planning & conducting weekly marketing activity for increasing footfall in the branch.   				 Responsible for Target allocation of all Products to the Branch staff well in time  .				 Review of NPA Recovery/Auction identified accounts and ensuring meeting two NPA customers daily.   			 Ensuring meeting at least two HNI customer everyday morning/evening so as to promote company new products & offerings.    				 Monitoring office activity, including number of transactions, loan volume, sales volume etc.    				 Maintenance of Important registers/documents/KYC in branches to ensure AUDIT & Statutory compliance	   			 Ensuring systems & procedures for all daily activities in all dealings as per the guidelines of audit & CO (North).	   			 Review of Spurious/Less purity/Fraud/Dacoity/Packet-Item Missing/Police Seizure/ Insurance claim cases.     				 Review the Progress of Legal cases pending if any.              				 Ensuring Safe Custody of Valuables & Surveillance over Branch transactions.	   			 Identify the training needs of the staffs and ensuring the commencement of same.    				 Branch Manager to conduct the Quarterly Physical Verification of packets and submission of the Managers Certificate.	   			 Daily evening Reporting to Regional manager regarding achievement of the daily activity.	   			 Maintaining & Supervising of IT infrastructure/security measures/PC/Printer/CCTV/Alarm     Systems/biometric/UPS/Broadband in the branch.      Ensuring effective utilization of HRMS/FAMS/CRM/CBS.	   			 Ensuring upkeep of the branch and maintaining glow signs & other marketing collateral.	   			 Proper record and track of IOMs, rent agreements, renewal dues, tax details, statutory & compliance, TDS  & guard payments.       Assistant Branch Managers:   Minimum 5-6 yrs of managerial &     Sales experience in Banks, NBFC or any Finance Company, 30+      years of age).     Preferably below 45 years of age    Branch Managers   : (Only Retired Ex Bankers or VRS Optee from     Scale II, Age upto 62 years) from Governement Banks.         Job Locations :-       Nagpur    Bhandara       Recruitment Drive :  16, 17 & 18 Feb 2019 (Sat, Sun & Mon) .       Venue for Interview  :  Muthoot Finance Ltd,  Nagpur Regional Office 1st Floor, Premises No 15, Plot No 59, Gandhi Grain Market, Near Telephone Exchange Chowk, Nagpur - MH        Time   : 10.00 AM - 4:00 PM.",6 - 11 yrs,JimJohnMathew,8129688655,NA
Job | Branch Heads (branch Manager / Asst Branch Manager),Muthoot Finance Ltd,"Banking, Financial Services, Broking",Branch Manager,"INR 3,00,000 - 3,75,000 PA.",nagpur,"Roles and responsibilities  The Muthoot Group  is conducting direct walk-in interviews for profiles  Branch Manager / Assistant  Branch Manager  Profile across Chhatisgarh & MH.          Vacant Locations :      Raipur    Jabalpur    Balod    Dhamtari    Mungeli    Janjgir    Kawardha    Kamptee    Katni    Annupur    Bhatapara    Jagdalpur       Job Description:-          Assistant Branch Managers , Minimum 5-6 yrs of managerial & Sales experience in  Banks, NBFC or any Finance Company , 30+ yrs of Age) OR  Ex- Servicemen  (Junior Warrant officer, Sergeant, Chief Petty Officer) Preferably below 45 years of age   Branch Managers  (Only  Retired Ex Bankers  or  VRS Optee  from Scale II, Age upto 62 years)      Interested candidates shall walkin to the below given address with their updated resume, copy of Aadhar & Pan Card & Passport size photo.         20-06-2019  to 22-06-2019      (Thursday to Saturday) @ Raipur CG     Address of interview centre :  Muthoot Finance Ltd., G E Road Raipur Branch, 1ST FLOOR, DUTTA COMPLEX, OPP. ANUPAM GARDEN, ABOVE VARUN HONDA, G.E.ROAD,RAIPUR, CHHATISGARH          24-06-2019  to 26-06-2019 (Monday to Wednesday) @ Nagpur MH    Address of interview centre :    Muthoot Finance Ltd Regional Office Nagpur 1st Floor, Premises No 15, Plot No 59, Gandhi Grain Market, Near Telephone Exchange Chowk, Nagpur - MH         HRD,   The Muthoot Group   Required Candidate profileCareers at Muthoot FinanceMuthoot Finance Ltd. opens a world of opportunities for those who seek to work in a challenging and rapidly expanding company. Working with us means exploring beyond boundaries and across roles.The Muthoot AdvantageSince its establishment, The Muthoot Group has stood for trust and responsibility, but most importantly for constant growth. As a part of a colossal conglomerate, Muthoot Finance promises abundant avenues for learning and development across multiple areas of expertise.Why MuthootAt Muthoot Finance Ltd., Learning, Progressing and Growing (LPG) is a philosophy integral to the work culture. Lucrative compensation and a supportive work environment make Muthoot Finance Ltd. an employer of choice. Since inter-company and cross-country mobility is fundamental to the work culture at Muthoot Finance Ltd. role flexibility, job expansion and job rotation are job satisfaction techniques that we encourage.Becoming a Muthoot EmployeeWith operations across India, UK, US and UAE, Muthoot Finance Ltd. offers a global platform for one to achieve their true potential. The company seeks knowledgeable employees who are willing to learn and ready to challenge their limits.Perks and Benefits +additional Incentives+other benefits",5 - 10 yrs,JimJohnMathew,8129688655,NA
Team Manager: B2C Sales : Ed-tech Organisation,Ace of Clubs Hiring Partners,"Education, Teaching, Training",Sales/Business Development Manager,"INR 4,00,000 - 6,00,000 PA. 20% retention bonus + local conveyance + mobile reimbursement + attractive incentive",nagpur,"- Apply only if you have experience in managing B2C Sales teams-    ROLE  We are looking Team Manager Field Sales with the following qualities: 	Dynamic Professional in Leading & Driving the Sales Team, setting up Revenue Targets in line with Organisational Goals. Motivating & Mentoring team to achieve & Exceed Individual & Team Targets.   Design & Develop Business Models. 	Ability to forge alliances quickly.  KEY RESPONSIBILITIES: 	Provide team with a vision and objectives and manage key performance indicators 	Set the monthly ,weekly, daily Targets for the team and ensure that the targets are achieved 	Maintain the sales report of the Team 	Practically Driving Team to work  QUALIFICATIONS: Must Have: 	Able to Manage Team of 15 20 Sales Exec. Conducting weekly reviews for Performance & Training. Identifying the areas of Improvements & KPIs 	Involved in lot of calling on phone for negotiation and objection handling 	Good communication skill Voice Modulation, Clear Pronunciation 	Experience in to Data Analysis. 	Experience of at least 4- 5 yrs in to Field Sales in B2C Segment Preferred candidate who have sold services (like insurance, vacation plans, matrimony) or people who have sold product cost between 5k - 100k 	Excel or Google sheet expertise is a must.   Good to Have: 	Experience with sales/operations function into Field Sales in B2C Educational Domain preferred.",7 - 12 yrs,Arshad,NA,NA
Devops Engineer,Click2Cloud Technology Services (I) Pvt. Ltd.,"IT-Software, Software Services",Team Lead/Technical Lead,"INR 8,00,000 - 15,00,000 PA. hike on previous salary as per experience, knowledge & market Standards",nagpur,"Job Profile: DevOps Engineer          1. For Nagpur Location         Required Skills set        Implement and own the CI.  Manage CD tooling.  Implement and maintain monitoring and alerting.  Build and maintain highly available production systems.  Configuration Management experience such as Ansible, Chef, Puppet, or similar.  Managing production infrastructure with Terraform, CloudFormation, etc.  Strong Linux and/or Windows system administration background.  Ability to present and communicate the architecture in a visual form.      Strong knowledge of AWS, GCP, or Azure        2. For  Bangalore, Noida, Mumbai, Nagpur Location (Mandatory: Ready to travel as per requirement)       Required Skills set        Create and manage cloud and local infra using various tools like; Terraform, Ansible, Chef, Packer. Support team with standard practices in the DevOps area Automate provisioning and deployment of infra and applications using CICD pipelines(Jenkins/Travis)   Skills and certification  	Terraform 	Ansible 	Packer 	Chef 	Jenkins 	Git 	Linux 	Python/Shell Scripting 	AWS/Alibaba Cloud",5 - 10 yrs,Abhay,9021394703,http://click2cloud.com/
Jr Relationship Exe / Customer Care Exe,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Fresher,Salary + Allowances + incentives,nagpur,"The Muthoot Group is conducting walk-in interview drive from 06th Feb'2019 to 09th Feb'2019. Its a great opportunity for freshers to start you career and for experienced candidates to excel you career and skills.      RE Vacant Location:      Nagpur MH  Gangakhed MH  Chhindwara MP  Nanded MH  Katni MP  Annuppur MP  Umred MH  Raipur CG      CCE Vacant Location:     Mandla MP  Annuppur MP  Parbhani MH  Gangakhed MH           INTERVIEW DETAILS AND JOB DESCRIPTION ARE GIVEN BELOW:        Interview Venue:             Muthoot Finance Ltd,  Nagpur Regional Office 1st Floor, Premises No 15, Plot No 59, Gandhi Grain Market, Near Telephone Exchange Chowk, Nagpur - MH     Interview Date:  06 Feb 2019 - 08 Feb 2019    Interview Timings : 10:00 AM - 4:00 PM   Minimum Education Qualification :- Must be a Graduate (B.Com / BBA / B Sc (Maths) Only)     JOB DESCRIPTION FOR JRE / RE (Relationship Executive) (Males Preferred)    Responsible to attending walk -in clients at Branches.  Responsible for accepting & appraising gold jewellery as per company norms.  Ensuring proper Verification & Valuation of Collateral Securities and Documents.  Responsible for processing/ documentations of Loans & other financial services.  Responsible for cross selling of all products and achieving of individual & branch targets.  Responsible for conducting field visits and meeting corporate customers for business development.  Responsible for ATM monitoring & functioning if the same is attached to the branch.  Ensuring following of all procedures & policies as per laid down by the organization.  Coordination with various Banks & preparation of BRS.  Responsible for completion of all Accounts related works in the branch.  Responsible to maintain up-keep of the branch and ensure confidentialy in all dealings.  Responsible for tele-calling customers for following up on interest collection regularly.  Candidate's age must be below 30 years and a regular graduate    JOB DESCRIPTION FOR CCE (Customer Care Executive) (Females Preferred)    Manages all customer communication with the appropriate level of etiquette, timeliness and professionalism.  Generate business and leads for new loans from new customers  Handle branch walk-ins for business generation  Generate referrals through existing customer base and walk-ins.  Meetings with HNI, corporates and institutional clients to promote gold loan proposition.  To handle customer requests and complaints and take it to closure.  Understand the need of the customer and cross sell other products accordingly.  Generate business and leads for other products like insurance, NCDs, gold coin etc.  Enter meetings, leads, conversions(self-sourced and referred leads) in play book/CRM daily  Conducting outbound marketing activities to ensure continuous Walk-In the branches and a regular graduate    JOB DESCRIPTION FOR BDO (Business Development Officer)    Acquiring new clients and marketing agents for sales of Muthoot financial products  Generating revenue through sales of distribution products  Building a strong referral base from existing customers  Client Meeting and handling Walk-in Clients.  Revenue generation through sales of Muthoot Financial Products.  Candidate's age must be below 32 years   Kindly come in formals at the time of interview along with your updated resume, Aadhar Card, Pan Card, Passport Size photographs and bring the 3 months salary slips if you are having some experience.    Thanks & Regards Regional HR The Muthoot Group",0 - 2 yrs,HRD,8129583534,https://www.muthootgroup.com
Service Incharge - Indiabulls LED,Soril Infra Resources Limited,"Electricals, Switchgears",Service Engineer,Not Disclosed by Recruiter,nagpur,"JD for Service In-charge      Candidates from other than Lighting Industry will not be entertained.     - Operate efficiently to conclude all onsite installation, repair, maintenance and test activities - Guarantee that the work progress accurately follows the agenda - Perform troubleshooting and strive to resolve issues - Produce frequent and analytical service reports - PDI Inspection at Vendor Location - Coordination with Vendor for arranging spares - Defectives Inspection at Dealer Place - Coordination with Transporter for Defective Lift-up - Coordination with sales coordinator for CN Settlement. - MIS reporting for B2B and B2C Business - Coordination with Service Contractors for Complaint resolution. - Knowledge of repairing of Drivers. - Verification and Settlement of Bills of Service Contractors - Adhere to companys given rules and regulations - Formulate relationships of trust with customers - Ability to manage and preserve technical equipment",5 - 10 yrs,CharulGhatwai,NA,NA
Relationship Executive | Muthoot Finance Ltd | G E Road Raipur,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Relationship Executive,Not Disclosed by Recruiter,nagpur,"Muthoot Finance is looking for experienced candidates from banking and finance background for Relationship Executive Position at below mentioned locations.   Locations:    G E Road Raipur, CG   Eligibility Criteria:   Relationship Executive (Males) : Graduate in B.Com or BBA only. Technical Graduates (BE/B.Tech/BCA) are not allowed. Age Range : 21-30 years. The candidate should not be pursuing any education currently. Candidate must be willing for field activities also.",0 - 4 yrs,HR,0,NA
Relationship Executive | Muthoot Finance Ltd | Medical College Nagpur,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Relationship Executive,Not Disclosed by Recruiter,nagpur,Muthoot Finance is looking for experienced candidates from banking and finance background for Relationship Executive Position at below mentioned locations.   Locations:    Medical College Road Nagpur   Eligibility Criteria:   Relationship Executive (Males) : Graduate in B.Com or BBA only. Technical Graduates (BE/B.Tech/BCA) are not allowed. Age Range : 21-30 years. The candidate should not be pursuing any education currently. Candidate must be willing for field activities also.,0 - 4 yrs,HR,0,NA
Relationship Executive | Muthoot Finance Ltd | C A Road Nagpur,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Relationship Executive,Not Disclosed by Recruiter,nagpur,Muthoot Finance is looking for experienced candidates from banking and finance background for Relationship Executive Position at below mentioned locations.   Locations:    C A Road Nagpur.   Eligibility Criteria:   Relationship Executive (Males) : Graduate in B.Com or BBA only. Technical Graduates (BE/B.Tech/BCA) are not allowed. Age Range : 21-30 years. The candidate should not be pursuing any education currently. Candidate must be willing for field activities also.,0 - 4 yrs,HR,0,NA
Branch Manager - Muthoot Finance Ltd - Ramdaspeth Nagpur,Muthoot Finance Ltd,"Banking, Financial Services, Broking",Branch Manager,Salary + Incentives + bonus + gratuity,nagpur,"Muthoot finance is looking for experienced candidates from banking and finance background for Branch head Position in various locations.      Locations:        Ramdaspeth Nagpur      Eligibility Criteria:      Assistant Branch Managers, Minimum 5-6 yrs of managerial & Sales experience in Banks, NBFC or any Finance Company, 30+ yrs of Age)   OR   Ex- Servicemen (Junior Warrant officer, Sergeant, Chief Petty Officer) Preferably below 45 years of age  Branch Managers (Only Retired Ex Bankers or VRS Optee from Scale II, Age upto 62 years)     Job Description:       1.Target achievement of the branch.   2.Cross selling of all products and increase in walk-in of the branch.   3.Error-free audit reports and proper compliance being followed at the branch.   4. Maintaining punctuality, Discipline and high level of Morality in tune with the ethics &     values of Muthoot Group.   5. Cost control",5 - 10 yrs,HR,0,http://careers.muthootgroup.com
Business Development - General Insurance (corporate Sales),Salasar Services (Insurance Brokers) Private Limited,Insurance,Sales/Business Development Manager,"INR 5,00,000 - 12,00,000 PA.",nagpur,"Job Responsibilities: Financial		Increase reach and market share by adding new clients to the Organisations portfolio of all line of businesses 	Achieve financial targets articulated in the strategic plans of the Organization in terms of the brokerage earned through  o	Conversions of new clients  o	Retention of existing clients  o	Ensuring expansion and cross selling to existing clients  o	Support of specialist vertical budgets Business Process		Create potential databases from insurers and another source 	Update KPTS (Key Prospect Tracking System) immediately 	Obtain policy papers from existing and potential clients 	Conduct thorough analysis of Policy Portfolio of existing and potential clients with inputs from the underwriting and claims department to verify that the client has adequate coverage and best of rates and prepare offerings to bridge gaps 	Interface with claims team and service claims to gain confidence and pitch for new business by taking over the responsibility of enabling the client to get pending claims 	Engage in discussion and sharing notes with other departments to leverage individual strengths 	Participate in monthly meetings to discuss key accounts, strategic initiatives, market trends Customer 		Send introductory mails or letters, call for appointment before the initial meeting and send thank you note and brochure to all prospective clients after the same. 	Make client lists 	Visit key existing clients on a periodical basis 	Get insurance policies issued in favour of the clients in coordination with the underwriting team and deliver the same to the clients 	Collect premium cheques on time 	Provide best possible client service with respect to all new clients by  	Coordinating with the underwriting team to get renewal notice issued and the renewals done on time  	Engaging with insurance companies and coordinating with the claims team to enable settlement of claims 	Give timely inputs for MIS to management 	Classify potential customers into A-B-C category and implement the following action: o	Cater to all requirements through close liaising with respect to A category and close  o	Liaise with B category to covert the leads o	Maintain the C category in the database and schedule follow-up  People Growth	 	Acquire product knowledge and always keep self-updated with latest variations in product offerings 	Attend training sessions (external/ internal) and working on on-job assignments to implement new learning  	Perform all such duties which are required to be performed by this position in an insurance broking house in general course and to perform all such duties and carry out all such responsibilities so delegated or asked to be performed by the Designated Authority from time to time",5 - 10 yrs,HR,NA,http://www.salasarservices.com//
Urgent Vacancy as Warehouse Assistant (nagpur),IP Integrated Services Pvt Ltd,"Courier, Transportation, Freight , Warehousing",Store Keeper/Warehouse Assistant,"INR 50,000 - 1,25,000 PA.",nagpur,"There is a very URGENT Opening as Warehouse Assistant (Nagpur - Wadi)   Experience Required : Minimum 2 years Qualification : Any Graduate    CTC Offered : 14k max (in hand)        Key Responsibilities :-        Assisting Warehouse Incharge in all the day-to-day activities in a warehouse.      Inventory Management      Transportation Management      Inward & Outward Operations      Loading & Unloading Management     Desired Candidature :-        Must have any software knowledge (SAP, Oracle etc.)      Experience in a warehouse is mandatory      Interested candidates can share their resumes on  devanshi.shah@ipispl.in",1 - 6 yrs,DevanshiShah,30272111,NA
"Hiring Senior .Net Developer, Asp.net Developer @robosol, Nagpur",Robosol Systems Pvt Ltd,"IT-Software, Software Services",Team Lead/Technical Lead,"INR 3,00,000 - 7,00,000 PA.",nagpur,"Robosol is looking for gifted .NET Developer to join its close-knit and extremely talented technical team. We're looking for people who are ambitious about building a quality service which brings delight to their users. You should be experienced in:    4-6 Years of Experience       .NET, ASP.NET, C#, MVC and SQL Server      Exposure on Azure, WebAPI 2, Restful, JavaScript, HTML, CSS, Angular and Agile is ideal      Experience on Visual Source Safe      Domain Exposure of Ecommerce, B2B, B2C, EPOS,      Experience on integration with Couriers, Amazon, Ebay, Magento and other web platforms will be ideal      Ability to work with CSS, XHTML      Experience with Handling a team       Top performers can expect to receive their first promotion (and pay rise) within 6 months.     Perks and Life @ Robosol :           We only have 5 days of work culture with 8 hours of working shift.       Good opportunity to go onsite .       International clients and international  project.       Amazing work culture and full of life colleagues.      We are looking to hire amazing Senior   Project Coordinators to be part of our Organisation.       Regular Training & Learning programs.       We also sponsor Certification for the employees who are willing to upgrade their skills.          You can send in your resumes directly at (with a cover letter) - ruchi.gawande@robosol.com  ravnoor.k@robosol.com   Or directly walk in to our office-  Plot No. 159, Abhyankar Nagar Rd, Beside Kasturba Bhavan, Bajaj Nagar, Nagpur, Maharashtra 440010. Next to Kifayat Bazar.   About the company:  Robosol is a Microsoft Gold partner based in UK specialising in sales & implementation of Dynamics Nav, CRM, Dynamics 365, Office 365 solutions. We have worked extensively with Manufacturing, Distribution and Retail segments covering Pharmaceutical, Fashion, Cosmetics, Automotive, Luggage. Robosol has been in the ERP field for the last 17 years and over a period of time we have acquired proficiency in delivering projects on time and within stipulated budget. Robosol In Pharmaceutical Pharmaceutical is one of the key areas where we have assisted many pharmaceutical companies in complying with Good Distribution Practices (GDP) and Good Manufacturing Practices (GMP). Our solutions PharmaTotal built on Dynamics Nav helps companies in Buying, Sales, Batch Tracking, Warehouse, Manufacturing an Regulatory License Management, Robosol in Retail & Ecommerce Using the core features of Dynamics Nav for Purchase, Warehouse, Sales & Finance Robosol has extended the usability of the system to multi channel integration to Marketplace (Amazon, Ebay), EPOS, own website, Shipping companies and features such as Loyalty Program, Gift Vouchers & Promotions Management and more. This means companies can manage all their back office operations in one system.  Company Website: http://www.robosol.com/",4 - 6 yrs,RavnoorKhurana,NA,NA
"Resident Medical Officer-mbbs,bams,bhms",HealthCare Global Enterprises Ltd,"Medical, Healthcare, Hospitals",Medical Officer,Not Disclosed by Recruiter,nagpur,"All Files should be filled. 	All investigations should be arranged serially. 	Once in a week, all files will be scrutinized. 	All the important BIO MARKERS should be written date wise in a separate sheet. If possible graphically they should be presented. 	If Radiation is over, Radiation Summary sheet should be there in. 	See that drugs are given properly by the sisters. 	See that intake/out [put charts should be filled. 	All surgical notes must be there:- o	Intra-operative Notes. o	Pre-operative investigations o	Post op Biopsy report o	Mention if any complication. 	If chemotherapy is going on  please inspect the IV site, administration timings. 	If a patient is allergic to any drug, please mention it in BOLD at the front. 	Any consultant, in the round should be accompanied by the Duty Doctor. 	All patients should be attended on call, at any point of time. 	All the dressing in surgical ward mainly or any other ward should be done by Doctors/Sisters. 	All Doctors should follow duty hours, very strictly. 	In the weekly meeting all details will be discussed. 	When any blood transfusion is going on the doctor. Should verify all the records and they should start on their own. 	Must attend all medical procedures like Catheterization of the patient intubation etc",1 - 4 yrs,IshtiyaqueAnsari,09325883178,NA
Job Opportunity for Freshers to Become Software Developer,MRR Soft,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"Dear Candidate,  Greeting from MRR Soft!  We have an excellent opportunity for Freshers and Experienced Candidates to become Dot Net Developer with MRR Soft for Nagpur Location. If you are goal oriented & wants to join one of the fastest growing company and ready to take up the challenges than apply today.  Position:- Software Developer Experience:- 00 to 02 years Date of Interview:- 22nd June 2019 Time:- 10 AM to 04 PM Location: Nagpur  Kindly Register your names on given link:-                                                                     http://registration. mrrsoft.com / registration   About MRR:- MRR Soft is a global software firm that develops flexible E-commerce  software focused on who truly matters: the customer.                    We believe theres a better way to develop software.   Total Experience:-(If any) Relevant Experience:-(If Any) Current CTC:-(If Any) Expected CTC Notice Period:- (If any)  NOTE:- Register your names on below link :-   http://registration. mrrsoft. com/registration",0 - 2 yrs,PriyaJoshi,NA,NA
"Hiring - Territory Manager, Mumbai",Vee Technologies Private Limited,"Education, Teaching, Training",Other,Not Disclosed by Recruiter,nagpur,"JD for Territory Manager Position  Are you optimistic and have lot of energy, patience and interests acquiring of clients and support the business through your convincing skills? If yes, then this role is  for you :   You are expected to -   - Understand and deliver employment and employability related solutions to major higher education players both in the Private and Govt sector. - Onboard colleges to take assessments. A typical client profile would be Government Education bodies, Universities, Chairman of colleges, Principal, Director  Training and Placement.   - Build the largest reach in colleges pan India   Skill set Required:  Minimum 3  4 years of experience in selling services, to colleges, educational institutes. Candidates must have exposure to direct marketing, market communication & events management.   Should have the ability to liaise with TPO/ Govt Education Bodies, Colleges/ Educational Institutes and have them sign up for the assessment across their Universities and colleges.  Conduct Job fairs, road shows and other branding Activities.   Out of box thinker in achieving the targets assigned to them.   Experience working in a reputed organization environment and providing regional marketplace knowledge.   Graduate from amongst top colleges or MBA from an Institute of repute.  The ideal candidate will demonstrate leadership, high personal standard and professional ethics. This individual must be a team player and have strong management skills.   Flexibility, ability to make decisions quickly, deal with ambiguity and to continuously adjust to market / situation changes.   An outstanding communicator with the ability to persuade and influence others and earn their respect and confidence.   Ability to develop strong business relationships within all levels of an organization, including cross-functional partners and business unit leaders.   Accomplished idea-generator who can push local teams to find new and innovative ways to maximize available resources.   Willingness to travel across the region and occasionally work odd hours if business requires.   If this suits you, please send the updated resume : gautham.s@veetechnologies.com",1 - 3 yrs,HR,0,NA
Opportunity for Dot Net Developer_nagpur,MRR Soft,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"Dear Candidate,  Greeting from MRR Soft!  We have an excellent opportunity for   Dot Net Developer   with MRR Soft  for Nagpur Location.  If you are goal oriented & wants to join one of the fastest growing company and ready to take up the challenges than apply today.   Position - Software Developer/ Sr. Software Developer  Experience - 02 to 12 years Date of Interview:- 8th June 2019   Time:- 10 AM to 3 PM Location:  Nagpur     About MRR:-   MRR Soft is a global software firm that develops flexible ecommerce and educational software focused on who truly matters: the customer.                    We believe theres a better way to develop software.       	Key Responsibilities    	Assist in the design and development of Software Solutions using various Dot net 	frameworks. 	Utilize understanding of the full software life cycle and strong knowledge in 	Design Methodology  UML. 	Perform coding to written technical specifications. 	Investigate, analyze and document reported defects. 	Perform maintenance programming and correction of identified defects. 	Create, document, and implement unit test plans, scripts, and test harnesses. 	Assist in the support and growth of development platform(s). 	Support business development activities. Must understand the MRR Soft quality 	process and apply the same while executing tasks. 	Developing applications based upon customer requirements and industry standards. 	Interacting with test/quality assurance engineers to define test plans, identify and reproduce defects and provide fixes as needed; 	Effectively communicate and present all the output to project team. 	Interact with clients to identify their needs and define projects objectives. 	Research standard extensions/solutions for common business applications. 	Perform usability testing and assessment for projects, as well as ad hoc usability evaluations of varying levels of complexity. 	Ensuring customer satisfaction as high-priority, participating in client calls for status updates and updating the same to the junior team members for rapid delivery.       	Qualification/Requirements    	2+ years in .Net technologies. 	 Experience in web development activity using .Net framework. 	ASP.Net with C#, Web Services, JavaScript, SSL, XHTML, CSS, AJAX 	Expertise in Windows Forms Applications, Windows Presentation Foundation, Windows Communication Foundation, .NET - Integration Technologies. 	Good team player and independent worker. 	Strong consultative skills. 	Extensive experience in relational database. 	Strong R&D and analytical skills. 	 Excellent communication skills; written, verbal and presentation.       	Nice-to-have Requirements     	Working knowledge of mobile development activity.  	Working knowledge of web hosting solution on IIS7.  	 Experience working with an offshore onsite development process.",2 - 7 yrs,AbhishekHood,7104667020,http://www.mrrsoft.com
